sp,n,factor,Wright_WD,growthsurv,pca2,pft3,pft5,altwd,RGR95,sm,lma,ldmc,N_shade,N_sun,P_shade,P_sun,wind
cedrod,187,NA,0.477733938,-2.262625656,0.439360475,1,2,0.446,0.128248929,NA,35.62598337,0.289021006,3.667210057,NA,2.18314704,NA,1
ingaqu,188,6.022754335,0.644915862,0.513779876,0.569308312,2,5,0.56,0.10027207,0.28583,60.94467457,0.392979978,2.527553174,2.735148064,1.00411487,0.989148402,0
pourbi,189,NA,0.357420061,-1.264344185,1.535557399,1,3,0.353,0.24209934,0.211804,62.5234135,0.275704144,2.096902811,1.876979043,0.953673864,0.86527772,0
pit1ma,190,NA,NA,-0.33793856,1.939380854,2,3,0.438,0.225501628,NA,NA,NA,NA,2.339490891,NA,0.784930429,0
ingaun,191,NA,NA,NA,NA,NA,NA,NA,0.209227152,NA,NA,NA,NA,NA,NA,NA,0
ingath,192,NA,0.494264635,-0.468169811,1.47518429,2,3,0.581,0.349685454,0.262625,77.47059264,0.383770631,2.714454914,2.676749073,0.846626531,0.913834373,0
pochqu,193,NA,0.388336249,-0.7807467,1.326770487,1,3,0.584,NaN,NA,65.18318723,0.240459937,2.052511083,NA,1.316846161,NA,0
alchla,194,NA,0.451820767,-0.383890663,1.226569376,2,3,0.42,0.034045081,NA,40.79568442,0.330757034,2.048542055,NA,1.066146515,NA,#N/A
sipacr,195,NA,NA,NA,NA,NA,NA,NA,0.079741614,NA,NA,NA,NA,NA,NA,NA,0
ochrpy,196,NA,0.191380633,-2.504240094,0.968335532,1,2,0.158,0.356011,NA,NA,NA,NA,2.323530317,NA,1.577506202,0
psycde,197,NA,0.548433732,-0.391767049,-2.605521554,2,4,0.48,0.101186141,0.003506,42.79051472,0.259141456,2.906967163,NA,0.997989921,NA,0
ardife,198,NA,NA,2.392431671,0.290279471,3,1,0.599,0.079176637,0.05228,67.11416253,0.260997134,1.456682617,NA,0.741925636,NA,1
psycho,199,NA,0.646169179,0.851089697,-2.762042726,3,4,0.525,0.063774747,0.005558,47.76354237,0.241049263,1.888466561,NA,1.247337103,NA,0
acaldi,200,-37.07727581,0.50129168,-1.965849955,-0.620495572,1,2,0.3,0.17702858,NA,41.56364726,0.329436168,2.415581882,NA,1.347997131,NA,#N/A
pentma,201,-3.177141984,0.454377134,1.743283387,-1.522934723,3,1,0.636,0.053570336,0.008308125,65.18318723,0.197452696,1.837839484,NA,0.792994152,NA,0
annoac,202,4.722822817,0.645087275,1.820645656,-1.712388011,3,1,0.518,0.08045164,0.045841667,53.04562823,0.314622075,2.373655012,2.2196226,1.139146619,1.034644895,#N/A
oenoma,203,NA,NA,NA,NA,NA,NA,NA,0.102873102,2.012124,63.04787593,0.4756092,1.87744725,NA,0.983546124,NA,0
psycma,204,NA,0.58950007,0.64574633,-3.372646582,2,4,0.525,0.083863865,0.010278,57.76579007,0.264481114,1.675318277,NA,0.946161106,NA,0
taline,205,18.72285706,0.663137474,3.528671334,-0.548243313,3,1,0.85,0.046802508,0.748745,81.16992583,0.553495679,1.71342766,NA,0.808095646,NA,0
